CoffeeID,Species,Owner,Country.of.Origin,Farm.Name,Lot.Number,Mill,ICO.Number,Company,Altitude,Region,Producer,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Expiration,Certification.Body,Certification.Address,Certification.Contact,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
385,Arabica,ngila estate ltd,"Tanzania, United Republic Of",ngila estate,Unknown,ngila estate ltd,C50,ngila estate ltd,1600,karatu northern,Ngila Estate Ltd,39,60.0,Africa Fine Coffee Association,2014-01-01,2014-12-12,Ngila Estate Ltd,Bourbon,Washed / Wet,7.75,7.67,7.58,7.67,7.58,7.58,10.0,10.0,10.0,7.58,83.42,0.13,0,0.0,Green,4,2015-12-12,Africa Fine Coffee Association,073285c0d45e2f5539012d969937e529564fa6fe,c4ab13415cdd69376a93780c0166e7b1a10481ea,m,1600.0,1600.0,1600.0
386,Arabica,compañia colombiana agroindustrial s.a,Colombia,Unknown,Unknown,trilladora boananza,15-3-79-0002,ecom cca sa,1813,huila,Unknown,250,70.0,Almacafé,,2014-10-15,Compañia Colombiana Agroindustrial S.A,Caturra,Washed / Wet,7.58,7.58,7.25,7.75,7.75,8.58,9.33,10.0,10.0,7.58,83.42,0.12,0,0.0,Green,1,2015-10-15,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1813.0,1813.0,1813.0
387,Arabica,juan luis alvarado romero,Guatemala,el papaturro,Unknown,beneficio ixchel,11/23/0562,"unex guatemala, s.a.",4000 psnm,oriente,AMILCAR LAPOLA,250,69.0,Asociacion Nacional Del Café,2013-01-01,2014-08-21,Juan Luis Alvarado Romero,Bourbon,Natural / Dry,7.75,7.83,7.33,7.83,7.5,7.67,10.0,10.0,10.0,7.5,83.42,0.1,0,0.0,Green,1,2015-08-21,Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1219.2,1219.2,1219.2
388,Arabica,juan luis alvarado romero,Guatemala,finca medina,Unknown,beneficio siembras vision (154),11/11711/6,"siembras vision, s.a.",1500 msnm,antigua,"SIEMBRAS VISIÓN, S.A.",250,69.0,Asociacion Nacional Del Café,2014-01-01,2014-02-18,Juan Luis Alvarado Romero,Caturra,Washed / Wet,7.67,7.75,7.5,7.83,7.58,7.5,10.0,10.0,10.0,7.58,83.42,0.1,0,0.0,Green,2,2015-02-18,Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,m,1500.0,1500.0,1500.0
389,Arabica,juan luis alvarado romero,Guatemala,el morito,Unknown,beneficio ixchel,11/23/1040,"unex guatemala, s.a.",4300,oriente,ROBERTO MONTERROSO,250,69.0,Asociacion Nacional Del Café,2013-01-01,2013-07-16,Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.67,7.5,7.75,7.42,7.75,7.75,10.0,10.0,10.0,7.58,83.42,0.11,0,0.0,Green,0,2014-07-16,Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1310.64,1310.64,1310.64
390,Arabica,kona pacific farmers cooperative,United States (Hawaii),Unknown,Unknown,Unknown,2233803 KONA NO. 1,kona pacific farmers cooperative,Unknown,kona,Unknown,13,45.3592,Specialty Coffee Association,2012-01-01,2013-01-24,Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,7.42,7.75,7.67,7.58,7.67,7.67,10.0,10.0,10.0,7.67,83.42,0.0,0,0.0,Green,2,2014-01-24,Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,Unknown,Unknown,Unknown
391,Arabica,exportadora de cafe condor s.a,Colombia,various,Unknown,trilladora boananza,3-68-0147,exportadora de cafe condor s.a,1450 msnm,cundinamarca,Exportadora de cafe condor,250,70.0,Almacafé,2012-01-01,2012-06-26,Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.5,7.75,7.58,7.5,7.67,7.75,10.0,10.0,10.0,7.67,83.42,0.11,0,0.0,Green,2,2013-06-26,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1450.0,1450.0,1450.0
392,Arabica,federacion nacional de cafeteros,Colombia,Unknown,Unknown,Unknown,03-01-0424,Unknown,Unknown,huila,Unknown,250,70.0,Almacafé,,2011-02-01,Federación Nacional de Cafeteros,Unknown,Unknown,7.58,7.58,7.58,7.67,7.75,7.67,10.0,10.0,10.0,7.58,83.42,0.1,1,0.0,Unknown,3,2012-02-01,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,Unknown,Unknown,Unknown
393,Arabica,kona pacific farmers cooperative,United States (Hawaii),kona pacific farmers cooperative,Unknown,Unknown,HDOA 210127 Kona Extra Fancy,Unknown,Unknown,kona,Kona Pacific Farmers Co-Op,12,60.0,Specialty Coffee Association,2010-01-01,2010-12-27,Kona Pacific Farmers Cooperative,Unknown,Unknown,7.5,7.92,7.42,7.67,7.83,7.58,10.0,10.0,10.0,7.5,83.42,0.01,0,0.0,Unknown,0,2011-12-27,Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,Unknown,Unknown,Unknown
394,Arabica,doi tung development project,Thailand,doi tung development project,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Doi Tung Development Project,4,0.453592,Specialty Coffee Association,,2010-04-13,Doi Tung Development Project,Peaberry,Unknown,7.58,7.25,7.5,7.92,7.92,7.42,10.0,10.0,10.0,7.83,83.42,0.11,0,0.0,Unknown,0,2011-04-13,Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,Unknown,Unknown,Unknown
395,Arabica,grounds for health admin,Mexico,Unknown,Unknown,Unknown,016-2729-001-A-LAB-SS2,Unknown,900-1200mtr,nayarit,"Productores de Cafe de El Cuarenteno, S. de P.R. de R.L",6,6,Specialty Coffee Association,,2010-05-26,Grounds for Health Admin,Unknown,Unknown,7.25,7.88,7.38,7.63,7.5,8.75,9.0,10.0,10.0,8.0,83.38,0.09,2,0.0,Unknown,4,2011-05-26,Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,900.0,1200.0,1050.0
396,Arabica,exportadora de cafe condor s.a,Colombia,various,68-0054,bonanza - armenia,68-0054,exportadora de cafe condor s.a,1650,huila,various,275,70.0,Almacafé,2016-01-01,2016-11-08,Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.75,7.5,7.75,7.58,7.58,7.58,10.0,10.0,10.0,7.58,83.33,0.0,0,1.0,Unknown,0,2017-11-08,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1650.0,1650.0,1650.0
397,Arabica,racafe & cia s.c.a,Colombia,Unknown,3-37-3729,bachue,3-37-3729,racafe & cia s.c.a,Unknown,guayata,Unknown,130,70.0,Almacafé,2016-01-01,2016-06-15,Racafe & Cia S.C.A,Caturra,Washed / Wet,7.67,7.58,7.58,7.42,7.67,7.75,10.0,10.0,10.0,7.67,83.33,0.0,0,0.0,Blue-Green,0,2017-06-15,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,Unknown,Unknown,Unknown
398,Arabica,racafe & cia s.c.a,Colombia,Unknown,3-37-2623,bachue,3-37-2623,racafe & cia s.c.a,Unknown,huila,La Plata,275,70.0,Almacafé,2016-01-01,2016-05-05,Racafe & Cia S.C.A,Caturra,Washed / Wet,7.83,7.58,7.58,7.58,7.5,7.58,10.0,10.0,10.0,7.67,83.33,0.0,1,0.0,Green,2,2017-05-05,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,Unknown,Unknown,Unknown
399,Arabica,ipanema coffees,Brazil,rio verde,Unknown,ipanema coffees,002/1660/0106,ipanema coffees,1227,south of minas,Ipanema Agrícola SA,10,2.0,Specialty Coffee Association,,2015-10-12,Ipanema Coffees,Catuai,Semi-washed / Semi-pulped,7.5,7.83,7.33,7.58,7.58,7.92,10.0,10.0,10.0,7.58,83.33,0.1,1,0.0,Green,5,2016-10-11,Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1227.0,1227.0,1227.0
400,Arabica,andreas kussmaul,Mexico,ecc,Unknown,ecc,1620280402,exportadora café california,1200,chiapas,ECC,275,1.0,Asociación Mexicana De Cafés y Cafeterías De Especialidad A.C.,2014-01-01,2015-07-14,ANDREAS KUSSMAUL,Caturra,Washed / Wet,7.75,7.75,7.5,7.67,7.5,7.58,10.0,10.0,10.0,7.58,83.33,0.12,0,0.0,Green,2,2016-07-13,Asociación Mexicana De Cafés y Cafeterías De Especialidad A.C.,3441698871fa609a44ce947e8944ee42eb4428b9,9894541e8065ee718165a1d432389d114defc38c,m,1200.0,1200.0,1200.0
401,Arabica,exportadora de cafe condor s.a,Colombia,various,Unknown,trilladora agricola,3-68-0103,exportadora de cafe condor s.a,1650 msnm,santander,varios,275,70.0,Almacafé,2015-01-01,2015-04-08,Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.67,7.75,7.42,7.83,7.83,7.42,10.0,10.0,10.0,7.42,83.33,0.11,0,0.0,Green,1,2016-04-07,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1650.0,1650.0,1650.0
402,Arabica,afca,"Tanzania, United Republic Of",mondul coffee estate,Unknown,mondul coffee estate,C27,mondul coffee estate,1700,arusha,Mondul Coffee Estate,10,60.0,Africa Fine Coffee Association,2014-01-01,2014-12-12,AFCA,Other,Semi-washed / Semi-pulped,7.75,7.58,7.67,7.58,7.58,7.58,10.0,10.0,10.0,7.58,83.33,0.12,0,0.0,Green,6,2015-12-12,Africa Fine Coffee Association,073285c0d45e2f5539012d969937e529564fa6fe,c4ab13415cdd69376a93780c0166e7b1a10481ea,m,1700.0,1700.0,1700.0
403,Arabica,j.andrade,Mexico,el pino,Unknown,"el pino, cosautlan de carvajal",0,"café andrade, s.a. de c.v.",1100,veracruz,JOSÉ LUIS ANDRADE SANDARA,200,1.0,AMECAFE,2013-01-01,2014-07-15,J.ANDRADE,Other,Washed / Wet,7.67,7.67,7.58,7.67,7.5,7.58,10.0,10.0,10.0,7.67,83.33,0.12,0,0.0,Green,0,2015-07-15,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1100.0,1100.0,1100.0
404,Arabica,the coffee source inc.,Costa Rica,several,Unknown,cafe altura de san ramon,5-562-0013,the coffee source inc.,1300 msnm,san ramon,SEVERAL,250,1.360776,Specialty Coffee Association,2014-01-01,2014-04-07,The Coffee Source Inc.,Caturra,Washed / Wet,7.67,7.67,7.42,7.67,7.67,7.67,10.0,10.0,10.0,7.58,83.33,0.12,0,0.0,Green,3,2015-04-07,Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1300.0,1300.0,1300.0
405,Arabica,eileen koyanagi,United States (Hawaii),Unknown,Unknown,Unknown,KP012314,kona pacific farmers cooperative,Unknown,kona,Unknown,12,45.3592,Specialty Coffee Association,2014-01-01,2014-02-25,Eileen Koyanagi,Hawaiian Kona,Natural / Dry,7.83,7.58,7.83,7.67,7.92,8.0,9.33,10.0,9.33,7.83,83.33,0.11,0,0.0,Bluish-Green,1,2015-02-25,Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,Unknown,Unknown,Unknown
406,Arabica,eric thormaehlen,Costa Rica,several,Unknown,several - coricafe dry mill,5-0048-0023,coricafe s.a.,1100-1300,central valley,CORICAFE BLEND,250,1.0,Specialty Coffee Association of Costa Rica,2013-01-01,2014-02-14,Eric Thormaehlen,Catuai,Washed / Wet,7.5,7.67,7.67,7.5,7.83,7.17,10.0,10.0,10.0,8.0,83.33,0.11,0,0.0,Green,3,2015-02-14,Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1100.0,1300.0,1200.0
407,Arabica,dane loraas,Peru,Unknown,Unknown,Unknown,030-0695-1742,sustainable harvest,Unknown,Unknown,Unknown,280,2.26796,Specialty Coffee Association,2013-01-01,2014-01-21,Dane Loraas,Unknown,Washed / Wet,7.83,7.75,7.58,7.83,7.92,7.58,9.33,10.0,10.0,7.5,83.33,0.12,0,0.0,Green,5,2015-01-21,Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,Unknown,Unknown,Unknown
408,Arabica,itiah coffee llc,Haiti,marre blanche,Unknown,Unknown,Unknown,itiah coffee llc.,4200 feet,"thiotte, haiti",COOPCAB,2,1.814368,Specialty Coffee Association,2012-01-01,2013-10-03,ITIAH COFFEE LLC,Typica,Washed / Wet,7.58,7.5,7.67,7.5,7.83,7.42,10.0,10.0,10.0,7.83,83.33,0.11,0,0.0,Green,4,2014-10-03,Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,1280.16,1280.16,1280.16
409,Arabica,carcafe ltda ci,Colombia,Unknown,Unknown,neiva,3-59-1326,carcafe ltda,1000 msnm,pitalito,ORLANDO ORTIZ / HIPOLITO TORRES,250,70.0,Almacafé,2013-01-01,2013-04-26,CARCAFE LTDA CI,Caturra,Natural / Dry,7.67,7.67,7.5,7.67,7.92,7.42,10.0,10.0,10.0,7.5,83.33,0.11,0,0.0,Green,1,2014-04-26,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1000.0,1000.0,1000.0
410,Arabica,juan luis alvarado romero,Guatemala,el sacramento,Unknown,beneficio ixchel,11/23/0419,"unex guatemala, s.a.",4300,oriente,LUIS RODRIGUEZ,250,69.0,Asociacion Nacional Del Café,2013-01-01,2013-02-26,Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.83,7.67,7.17,7.67,7.67,7.67,10.0,10.0,10.0,7.67,83.33,0.11,0,0.0,Green,3,2014-02-26,Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1310.64,1310.64,1310.64
411,Arabica,kona pacific farmers cooperative,United States (Hawaii),Unknown,Unknown,Unknown,2234503 KONA PRIME,kona pacific farmers cooperative,Unknown,kona,Unknown,7,45.3592,Specialty Coffee Association,2012-01-01,2013-01-24,Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,7.92,7.5,7.58,7.83,7.67,7.67,9.33,10.0,10.0,7.83,83.33,0.1,0,0.0,Bluish-Green,4,2014-01-24,Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,Unknown,Unknown,Unknown
412,Arabica,steven kil,Burundi,sogestal kayanza,Unknown,kiriyama washing station,Unknown,the specialty coffee appraisers institute of asia,1880,kayanza,Unknown,220,60.0,Specialty Coffee Association,2012-01-01,2012-08-29,Steven Kil,Bourbon,Washed / Wet,7.75,7.67,7.33,7.5,7.5,7.75,10.0,10.0,10.0,7.83,83.33,0.0,0,0.0,Unknown,5,2013-08-29,Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1880.0,1880.0,1880.0
413,Arabica,exportadora de cafe condor s.a,Colombia,Unknown,Unknown,trilladora boananza,3-68-0133,exportadora de cafe condor s.a,1750 msnm,huila,condor,250,70.0,Almacafé,2012-01-01,2012-05-30,Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.5,7.67,7.67,7.58,7.67,7.58,10.0,10.0,10.0,7.67,83.33,0.0,0,0.0,Green,1,2013-05-30,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1750.0,1750.0,1750.0
414,Arabica,kona pacific farmers cooperative,United States (Hawaii),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,kona,Unknown,27,45.3592,Specialty Coffee Association,,2011-09-20,Kona Pacific Farmers Cooperative,Unknown,Unknown,8.08,7.83,7.83,7.75,7.67,7.58,9.33,10.0,9.33,7.92,83.33,0.01,0,0.0,Unknown,0,2012-09-19,Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,Unknown,Unknown,Unknown
415,Arabica,kona pacific farmers cooperative,United States (Hawaii),Unknown,Unknown,Unknown,HDOA #210307,Unknown,Unknown,Unknown,Unknown,25,45.3592,Specialty Coffee Association,,2011-02-24,Kona Pacific Farmers Cooperative,Unknown,Unknown,7.58,7.67,7.58,7.5,7.83,7.67,10.0,10.0,10.0,7.5,83.33,0.0,0,0.0,Unknown,0,2012-02-24,Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,Unknown,Unknown,Unknown
416,Arabica,cafe de don balbino s.c. de r.l. de c.v.,Mexico,corta pico,2016-2017-1,la catedral del cafe,Unknown,cafe de don balbino s.c. de r.l. de c.v.,1600,sierra madre occidental,BALBINO RAMIREZ FLORES,50,50.0,Centro Agroecológico del Café A.C.,2017-01-01,2017-03-07,CAFE DE DON BALBINO S.C. DE R.L. DE C.V.,Typica,Washed / Wet,7.67,7.83,7.42,7.83,7.33,7.5,10.0,10.0,10.0,7.67,83.25,0.11,0,0.0,Blue-Green,0,2018-03-07,Centro Agroecológico del Café A.C.,3b8dfdd621590b424ff64e0b76df7d6a92e1c628,d470dc009281519e30da6ead1c649fcd7670f386,m,1600.0,1600.0,1600.0
417,Arabica,troy quimby,Costa Rica,estate la patricia,LP-C211-181,micro beneficio la cabaña-javier meza,Unknown,bold coast coffee,1900,tarrazu,Manuel Montero,29,46.0,Specialty Coffee Association,2016-01-01,2017-01-30,Troy Quimby,Catuai,Pulped natural / honey,7.5,7.5,7.83,7.5,7.67,7.67,10.0,10.0,10.0,7.58,83.25,0.11,0,0.0,Green,0,2018-01-30,Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1900.0,1900.0,1900.0
418,Arabica,rodrigo soto,Costa Rica,coopellanobonito,s16292,coocafe r.l,5-139-0050,panamerican coffee trading,Unknown,tarrazu,Coopellanobonito,275,69.0,Specialty Coffee Association of Costa Rica,2015-01-01,2016-09-20,Rodrigo Soto,Unknown,Washed / Wet,7.83,7.5,7.42,7.67,7.5,7.67,10.0,10.0,10.0,7.67,83.25,0.11,0,0.0,Unknown,0,2017-09-20,Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,Unknown,Unknown,Unknown
419,Arabica,juan luis alvarado romero,Guatemala,linda vista,11-973-152,linda vista,11/973/152,mercon guatemala s.a.,2100,nuevo oriente,PABLO CHUY,275,0.0,Asociacion Nacional Del Café,2016-01-01,2016-08-12,Juan Luis Alvarado Romero,Pacas,Washed / Wet,7.5,7.58,7.42,7.83,7.67,7.58,10.0,10.0,10.0,7.67,83.25,0.11,0,2.0,Green,7,2017-08-12,Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,m,2100.0,2100.0,2100.0
420,Arabica,kawacom uganda ltd,Uganda,kawacom uganda ltd sipi farmers group,035/170/5061178,kawacom,035/170/5061178,kawacom uganda ltd,Unknown,"sipi, mt elgon",Kawacom Uganda LTD,150,9000.0,Uganda Coffee Development Authority,2015-01-01,2016-05-19,Kawacom Uganda LTD,SL14,Washed / Wet,7.5,7.67,7.67,7.42,7.67,7.67,10.0,10.0,10.0,7.67,83.25,0.12,0,0.0,Green,1,2017-05-19,Uganda Coffee Development Authority,188fe373b511e21f614564bf86aa4774270d8e04,b7614767a5343729bbde3a2777c60ce836aed928,m,Unknown,Unknown,Unknown
421,Arabica,bourbon specialty coffees,Brazil,Unknown,43102245 - P4615,dinamo armazens gerais ltda,002/4542/0189,bourbon specialty coffees,Unknown,campos altos - cerrado,Unknown,300,60.0,Brazil Specialty Coffee Association,2016-01-01,2016-01-12,BOURBON SPECIALTY COFFEES,Unknown,Unknown,7.58,7.67,7.42,7.5,7.67,7.42,10.0,10.0,10.0,8.0,83.25,0.12,0,0.0,Green,4,2017-01-11,Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,Unknown,Unknown,Unknown
422,Arabica,carcafe ltda ci,Colombia,Unknown,Unknown,neiva,3-59-0318,carcafe ltda,442 msnm,huila,FRANKLIN DUSSAN,304,35.0,Almacafé,,2015-11-27,CARCAFE LTDA CI,Caturra,Natural / Dry,7.58,7.67,7.67,7.17,7.75,7.83,10.0,10.0,10.0,7.58,83.25,0.0,0,0.0,Green,2,2016-11-26,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,442.0,442.0,442.0
423,Arabica,productos y servicios chilindron s.a. de c.v.,Mexico,los charcos,Unknown,la yerba,3,productos y servicios chilindron s.a. de c.v.,1261,cuarenteño,Rafael Arroyo Zoto,11,2.0,Asociación Mexicana De Cafés y Cafeterías De Especialidad A.C.,2015-01-01,2015-07-14,PRODUCTOS Y SERVICIOS CHILINDRON S.A. DE C.V.,Typica,Natural / Dry,7.83,7.75,7.5,7.58,7.58,7.58,10.0,10.0,10.0,7.42,83.25,0.12,0,0.0,Bluish-Green,2,2016-07-13,Asociación Mexicana De Cafés y Cafeterías De Especialidad A.C.,3441698871fa609a44ce947e8944ee42eb4428b9,9894541e8065ee718165a1d432389d114defc38c,m,1261.0,1261.0,1261.0
424,Arabica,"lin, che-hao krude 林哲豪",Taiwan,sunshine valley estate 向陽高山咖啡,Unknown,sunshine valley estate 向陽高山咖啡,Taiwan,taiwan coffee laboratory,1000 m,natou county,LIN YEN CHIEN 林言謙,10,15.0,Specialty Coffee Association,2015-01-01,2015-06-18,"Lin, Che-Hao Krude 林哲豪",Bourbon,Washed / Wet,7.67,7.5,7.5,7.5,7.67,7.83,10.0,10.0,10.0,7.58,83.25,0.1,0,0.0,Blue-Green,0,2016-06-17,Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1000.0,1000.0,1000.0
425,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,以勒咖啡,Unknown,以勒咖啡,Taiwanw台灣,宸嶧國際,800公尺,南投國姓,蘇詠晴,10,60.0,Blossom Valley International,2014-01-01,2014-11-23,CQI Taiwan ICP CQI台灣合作夥伴,Typica,Washed / Wet,7.92,7.83,7.75,7.58,7.5,7.33,10.0,10.0,10.0,7.33,83.25,0.1,0,0.0,Green,0,2015-11-23,Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0,m,800.0,800.0,800.0
426,Arabica,compañia colombiana agroindustrial s.a,Colombia,Unknown,Unknown,trilladora boananza,3-79-1818,ecom cca sa,1483,eje cafetero,Unknown,250,70.0,Almacafé,2014-01-01,2014-06-24,Compañia Colombiana Agroindustrial S.A,Caturra,Natural / Dry,7.58,7.58,7.5,7.58,7.58,7.75,10.0,10.0,10.0,7.67,83.25,0.0,0,0.0,Green,0,2015-06-24,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1483.0,1483.0,1483.0
427,Arabica,juan luis alvarado romero,Guatemala,finca medina,Unknown,beneficio siembras vision (154),11-11711-85 (MED),"siembras vision, s.a.",1500 msnm,antigua,"SIEMBRAS VISIÓN, S.A.",26,69.0,Asociacion Nacional Del Café,2014-01-01,2014-03-07,Juan Luis Alvarado Romero,Caturra,Washed / Wet,7.5,7.67,7.58,7.67,7.67,7.5,10.0,10.0,10.0,7.67,83.25,0.1,0,0.0,Green,1,2015-03-07,Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,m,1500.0,1500.0,1500.0
428,Arabica,exportadora de cafe condor s.a,Colombia,Unknown,Unknown,trilladora boananza,3-68-0215,exportadora de cafe condor s.a,1750 msnm,huila,Unknown,275,70.0,Almacafé,2013-01-01,2013-08-02,Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.83,7.5,7.67,7.33,7.67,7.67,10.0,10.0,10.0,7.58,83.25,0.11,0,0.0,Green,1,2014-08-02,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1750.0,1750.0,1750.0
429,Arabica,calixto guillen vazquez,Mexico,various,Unknown,productores de cafes especiales sc,2406,"finca triunfo verde, s.c.",1300,chiapas,VRIOS PRODUCTORES,200,1.0,AMECAFE,2013-01-01,2013-03-29,CALIXTO GUILLEN VAZQUEZ,Bourbon,Washed / Wet,7.58,7.75,7.5,7.5,7.58,7.58,10.0,10.0,10.0,7.75,83.25,0.12,0,0.0,Green,6,2014-03-29,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1300.0,1300.0,1300.0
430,Arabica,kona pacific farmers cooperative,United States (Hawaii),Unknown,Unknown,Unknown,KF313630,kona pacific farmers cooperative,Unknown,kona,Unknown,11,45.3592,Specialty Coffee Association,2012-01-01,2013-03-21,Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,7.58,7.75,7.83,8.0,8.08,7.67,9.33,10.0,9.33,7.67,83.25,0.11,0,0.0,Bluish-Green,4,2014-03-21,Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,Unknown,Unknown,Unknown
