Unnamed: 0,Species,Owner,Country.of.Origin,Farm.Name,Lot.Number,Mill,ICO.Number,Company,Altitude,Region,Producer,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Expiration,Certification.Body,Certification.Address,Certification.Contact,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters,Expiration_Year,Year_Difference,Grading.Year,Grading.Quarter,Grading.Month,Grading.Day,Grading.Weekday,Expiration.Year,Expiration.Quarter,Expiration.Month,Expiration.Day,Expiration.Weekday
341,Arabica,essencecoffee,Ethiopia,lomi tasha,Unknown,worka,100181006,essence coffee,1830.9876708757638,yirgacheffe,LevelUp,250,60.0,Blossom Valley International,2014.0,2015-03-25,EssenceCoffee,Other,Washed / Wet,7.75,7.67,7.58,7.67,7.5,7.67,10.0,10.0,10.0,7.75,83.58,0.0,0,0.0,Unknown,7,2016-03-24,Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0,m,1700.0,2000.0,1850.0,2016,2.0,2015,1,3,25,3,2016,1,3,24,4
342,Arabica,bulamburi coffee farmers association,Uganda,bulamburi coffee farmers,Unknown,bulamburi coffee farmers,0,bulamburi coffee farmers association,1830.9876708757638,eastern,Bulamburi coffee farmers association,100,60.0,Uganda Coffee Development Authority,2013.0,2014-06-27,Bulamburi coffee farmers association,SL14,Washed / Wet,7.67,7.67,7.42,7.75,7.75,7.67,10.0,10.0,10.0,7.67,83.58,0.12,0,0.0,Green,5,2015-06-27,Uganda Coffee Development Authority,188fe373b511e21f614564bf86aa4774270d8e04,b7614767a5343729bbde3a2777c60ce836aed928,m,1800.0,1800.0,1800.0,2015,2.0,2014,2,6,27,5,2015,2,6,27,6
343,Arabica,compañia colombiana agroindustrial s.a,Colombia,Unknown,Unknown,trilladora boananza,14-3-79-1921,ecom cca sa,1830.9876708757638,cundinamarca,Unknown,250,70.0,Almacafé,2014.0,2014-06-24,Compañia Colombiana Agroindustrial S.A,Caturra,Natural / Dry,7.67,7.58,7.67,7.67,7.67,7.67,10.0,10.0,10.0,7.67,83.58,0.0,0,0.0,Green,0,2015-06-24,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600.0,1600.0,1600.0,2015,1.0,2014,2,6,24,2,2015,2,6,24,3
344,Arabica,compañia colombiana agroindustrial s.a,Colombia,Unknown,Unknown,trilladora agricola,14-3-79-0953,ecom cca sa,1830.9876708757638,santander,Unknown,250,70.0,Almacafé,2014.0,2014-03-13,Compañia Colombiana Agroindustrial S.A,Caturra,Washed / Wet,7.67,7.58,7.67,7.58,7.67,7.75,10.0,10.0,10.0,7.67,83.58,0.12,0,0.0,Green,1,2015-03-13,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1550.0,1550.0,1550.0,2015,1.0,2014,1,3,13,4,2015,1,3,13,5
345,Arabica,compañia colombiana agroindustrial s.a,Colombia,Unknown,Unknown,trilladora agricola,3-79-0828,ecom cca sa,1830.9876708757638,santander,Unknown,250,70.0,Almacafé,2014.0,2014-03-21,Compañia Colombiana Agroindustrial S.A,Caturra,Washed / Wet,7.75,7.58,7.5,7.58,7.75,7.83,10.0,10.0,10.0,7.58,83.58,0.0,0,0.0,Unknown,0,2015-03-21,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1550.0,1550.0,1550.0,2015,1.0,2014,1,3,21,5,2015,1,3,21,6
346,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,dragon coffee 龍咖啡,Unknown,dragon coffee 龍咖啡,Unknown,blossom valley宸嶧國際,1830.9876708757638,taichung xinshe 台中市新社區,Gu zhi min 古智閔,10,30.0,Blossom Valley International,2012.7939636345197,2013-12-26,CQI Taiwan ICP CQI台灣合作夥伴,Typica,Other,7.75,7.75,7.75,7.75,7.5,7.58,10.0,10.0,10.0,7.5,83.58,0.11,0,0.0,Green,0,2014-12-26,Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0,m,1000.0,1000.0,1000.0,2014,Unknown,2013,4,12,26,4,2014,4,12,26,5
347,Arabica,racafe & cia s.c.a,Colombia,Unknown,Unknown,Unknown,3-37-1824,c.i.racafe & cia s.c.a,1830.9876708757638,huila,LA PLATA,275,70.0,Almacafé,2012.0,2012-08-31,Racafe & Cia S.C.A,Caturra,Washed / Wet,7.67,7.67,7.58,7.67,7.75,7.58,10.0,10.0,10.0,7.67,83.58,0.11,0,0.0,Green,3,2013-08-31,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600.0,1950.0,1775.0,2013,1.0,2012,3,8,31,5,2013,3,8,31,6
348,Arabica,alfredo bojalil,Mexico,ojo de agua,Unknown,agroindustrias unidas de mexico,2222,ecomtrading,1830.9876708757638,xalapa,JULIAN ALBERTO URRUTIA MOYA,250,1.0,AMECAFE,2012.0,2012-06-06,ALFREDO BOJALIL,Typica,Washed / Wet,7.83,7.67,7.58,7.58,7.67,7.58,10.0,10.0,10.0,7.67,83.58,0.12,0,0.0,Unknown,2,2013-06-06,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1000.0,1000.0,1000.0,2013,1.0,2012,2,6,6,3,2013,2,6,6,4
349,Arabica,carcafe ltda ci,Colombia,Unknown,Unknown,Unknown,3-59-0951,carcafe ltda,1830.9876708757638,cundinamarca,ORLANDO ORTIZ/WILSON SANCHEZ/GILBERTO ACOSTA,250,70.0,Almacafé,2012.0,2012-04-02,CARCAFE LTDA CI,Caturra,Natural / Dry,7.67,7.58,7.58,7.58,7.67,7.75,10.0,10.0,10.0,7.75,83.58,0.11,0,0.0,Green,4,2013-04-02,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,2136.0,2136.0,2136.0,2013,1.0,2012,2,4,2,1,2013,2,4,2,2
350,Arabica,nucoffee,Brazil,fazenda jericó,Unknown,Unknown,002/1251/0181,nucoffee,1830.9876708757638,south of minas,Alvaro Resende Aguiar,33,60.0,NUCOFFEE,2012.0,2012-01-23,NUCOFFEE,Catuai,Semi-washed / Semi-pulped,7.83,7.75,7.5,7.75,7.5,7.58,10.0,10.0,10.0,7.67,83.58,0.12,0,0.0,Blue-Green,2,2013-01-22,NUCOFFEE,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m,1100.0,1100.0,1100.0,2013,1.0,2012,1,1,23,1,2013,1,1,22,2
351,Arabica,carcafe ltda ci,Colombia,Unknown,3-59-1695,bogota,3-59-1695,carcafe ltda,1830.9876708757638,cundinamarca,Orlando Moreno / Willson Sanchez,50,70.0,Almacafé,2016.0,2017-02-20,CARCAFE LTDA CI,Caturra,Washed / Wet,7.75,7.58,7.58,7.75,7.75,7.5,10.0,10.0,10.0,7.58,83.5,0.0,0,0.0,Bluish-Green,5,2018-02-20,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1799.0,1799.0,1799.0,2018,2.0,2017,1,2,20,1,2018,1,2,20,2
353,Arabica,"ceca, s.a.",Costa Rica,Unknown,8038,beneficio montañas del diamante,5-025-0250,"ceca,s.a.",1830.9876708757638,tarrazu,Martin Gutierrez,245,69.0,Specialty Coffee Association of Costa Rica,2015.0,2016-06-06,"CECA, S.A.",Caturra,Washed / Wet,7.92,7.42,7.5,7.67,7.5,7.67,10.0,10.0,10.0,7.83,83.5,0.0,0,0.0,Blue-Green,0,2017-06-06,Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1850.0,1850.0,1850.0,2017,2.0,2016,2,6,6,1,2017,2,6,6,2
354,Arabica,carcafe ltda ci,Colombia,Unknown,3-59-1919,neiva,3-59-1919,carcafe ltda,1830.9876708757638,pitalito,Mecias Urbano / Yaniver Alvarez,250,70.0,Almacafé,2016.0,2016-04-07,CARCAFE LTDA CI,Caturra,Natural / Dry,7.75,7.58,7.58,7.5,7.75,7.75,10.0,10.0,10.0,7.58,83.5,0.0,0,0.0,Green,0,2017-04-07,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1000.0,1000.0,1000.0,2017,1.0,2016,2,4,7,4,2017,2,4,7,5
355,Arabica,juan luis alvarado romero,Guatemala,la esperanza,11/23/0145,beneficio ixchel,11/23/0145,"unex guatemala, s.a.",1830.9876708757638,oriente,MARGARITA AVILA DE NUYENS,250,69.0,Asociacion Nacional Del Café,2016.0,2016-03-16,Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.67,7.75,7.5,7.83,7.58,7.58,10.0,10.0,10.0,7.58,83.5,0.1,0,2.0,Bluish-Green,5,2017-03-16,Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1219.2,1219.2,1219.2,2017,1.0,2016,1,3,16,3,2017,1,3,16,4
356,Arabica,racafe & cia s.c.a,Colombia,Unknown,Unknown,Unknown,3-37-0634,racafe & cia s.c.a,1830.9876708757638,huila,La Plata,180,70.0,Almacafé,2015.0,2015-11-19,Racafe & Cia S.C.A,Caturra,Washed / Wet,7.58,7.58,7.58,7.58,7.75,7.67,10.0,10.0,10.0,7.75,83.5,0.12,0,0.0,Green,4,2016-11-18,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600.0,1950.0,1775.0,2016,1.0,2015,4,11,19,4,2016,4,11,18,5
357,Arabica,damari absalome,"Tanzania, United Republic Of",ano family,Unknown,arusha,CA007,tawoca,1830.9876708757638,nkure- meru,Mr & Mrs Damari Absalome,5,60.0,Africa Fine Coffee Association,2015.0,2015-11-16,Damari Absalome,Ruiru 11,Washed / Wet,7.75,7.67,7.58,7.67,7.67,7.58,10.0,10.0,10.0,7.58,83.5,0.13,0,0.0,Green,21,2016-11-15,Africa Fine Coffee Association,073285c0d45e2f5539012d969937e529564fa6fe,c4ab13415cdd69376a93780c0166e7b1a10481ea,m,1400.0,1400.0,1400.0,2016,1.0,2015,4,11,16,1,2016,4,11,15,2
358,Arabica,aulia arif syahri,Indonesia,yusrin,Unknown,olam,To be advice,pt. olam indonesia,1830.9876708757638,bener meriah,Yusrin,200,30.0,Specialty Coffee Association,2015.0,2015-09-14,Aulia Arif Syahri,Sumatra,Semi-washed / Semi-pulped,7.25,7.67,7.58,7.92,7.83,7.58,10.0,10.0,10.0,7.67,83.5,0.13,0,0.0,Bluish-Green,8,2016-09-13,Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1500.0,1500.0,1500.0,2016,1.0,2015,3,9,14,1,2016,3,9,13,2
361,Arabica,exportadora de cafe condor s.a,Colombia,Unknown,Unknown,bonanza - armenia,3-68-0068,exportadora de cafe condor s.a,1830.9876708757638,huila,Unknown,275,70.0,Almacafé,2014.0,2015-01-22,Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,8.0,7.58,7.25,7.58,7.92,7.58,10.0,10.0,10.0,7.58,83.5,0.11,0,0.0,Green,0,2016-01-22,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1850.0,1850.0,1850.0,2016,2.0,2015,1,1,22,4,2016,1,1,22,5
362,Arabica,the coffee source inc.,Guatemala,several,Unknown,ixchel,11-023-0025,the coffee source inc.,1830.9876708757638,atitlan,UNEX,250,1.0,Specialty Coffee Association of Costa Rica,2013.0,2014-12-18,The Coffee Source Inc.,Caturra,Washed / Wet,7.58,7.75,7.5,7.83,7.42,7.67,10.0,10.0,10.0,7.75,83.5,0.1,0,0.0,Green,0,2015-12-18,Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1400.0,1400.0,1400.0,2015,2.0,2014,4,12,18,4,2015,4,12,18,5
363,Arabica,compañia colombiana agroindustrial s.a,Colombia,Unknown,Unknown,trilladora boananza,3-79-2009,ecom cca sa,1830.9876708757638,cundinamarca,Unknown,250,70.0,Almacafé,2014.0,2014-08-11,Compañia Colombiana Agroindustrial S.A,Caturra,Washed / Wet,7.75,7.58,7.33,7.5,7.83,7.83,10.0,10.0,10.0,7.67,83.5,0.0,2,0.0,Unknown,0,2015-08-11,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1650.0,1650.0,1650.0,2015,1.0,2014,3,8,11,1,2015,3,8,11,2
364,Arabica,los hicaques,Honduras,los hicaques,Unknown,cigrah sps,13-111-240,cigrah,1830.9876708757638,comayagua,Reynerio Zepeda,275,1.0,Instituto Hondureño del Café,2013.707999270807,2014-04-08,Unknown,Caturra,Natural / Dry,7.67,7.5,7.67,7.5,7.67,7.67,10.0,10.0,10.0,7.83,83.5,0.1,0,0.0,Green,3,2015-04-08,Instituto Hondureño del Café,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880,m,1350.0,1350.0,1350.0,2015,Unknown,2014,2,4,8,2,2015,2,4,8,3
365,Arabica,exportadora de cafe condor s.a,Colombia,Unknown,Unknown,trilladora boananza,3-68-0161,exportadora de cafe condor s.a,1830.9876708757638,huila,Unknown,250,70.0,Almacafé,2013.0,2013-04-26,Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.58,7.75,7.42,7.67,7.75,7.67,10.0,10.0,10.0,7.67,83.5,0.0,1,0.0,Green,1,2014-04-26,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1750.0,1750.0,1750.0,2014,1.0,2013,2,4,26,5,2014,2,4,26,6
366,Arabica,exportadora de cafe condor s.a,Colombia,Unknown,Unknown,trilladora boananza,3-68-0183,exportadora de cafe condor s.a,1830.9876708757638,huila,Unknown,250,70.0,Almacafé,2013.0,2013-05-24,Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.58,7.67,7.58,7.75,7.58,7.75,10.0,10.0,10.0,7.58,83.5,0.11,0,0.0,Green,2,2014-05-24,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1750.0,1750.0,1750.0,2014,1.0,2013,2,5,24,5,2014,2,5,24,6
367,Arabica,manuel herrera juarez,Mexico,finca los barreales 1112lban,Unknown,finca los barreales,0,finca los barreales,1830.9876708757638,xalapa,MANUEL HERRERA JUAREZ,10,1.0,AMECAFE,2012.0,2012-08-31,MANUEL HERRERA JUAREZ,Bourbon,Natural / Dry,7.83,7.58,7.25,7.5,7.5,7.42,10.0,10.0,10.0,8.42,83.5,0.13,0,0.0,Green,14,2013-08-31,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1170.0,1170.0,1170.0,2013,1.0,2012,3,8,31,5,2013,3,8,31,6
368,Arabica,miguel cortes moreno,Mexico,Unknown,Unknown,"comunidad de sacún palma, municipio de chilón, chiapas",01-04,estrategias constructivas corzu s.a. de c.v.,1830.9876708757638,chilón,ARMANDO GUTIERREZ GUZMAN,10,1.0,AMECAFE,2012.0,2012-08-30,MIGUEL CORTES MORENO,Typica,Semi-washed / Semi-pulped,7.67,7.75,7.67,7.75,7.58,7.5,10.0,10.0,10.0,7.58,83.5,0.11,0,0.0,Green,12,2013-08-30,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,940.0,940.0,940.0,2013,1.0,2012,3,8,30,4,2013,3,8,30,5
369,Arabica,gabriel bernardo rivas ross,Mexico,la corralera,Unknown,dos puentes de finca kassandra,2484,Unknown,1830.9876708757638,totutla,GABRIEL BERNARD RIVAS ROSS,15,1.0,AMECAFE,2012.0,2012-07-11,GABRIEL BERNARDO RIVAS ROSS,Pacamara,Washed / Wet,7.75,7.67,7.67,7.75,7.33,7.5,10.0,10.0,10.0,7.83,83.5,0.12,0,0.0,Green,0,2013-07-11,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1400.0,1400.0,1400.0,2013,1.0,2012,3,7,11,3,2013,3,7,11,4
370,Arabica,juan luis alvarado romero,Guatemala,santo tomas pachuj,Unknown,"palinsa, beneficiado seco / santo tomas pachuj, beneficiado humedo",11/752/02,kanematsu corporation / rnp santo tomas pachuj,1830.9876708757638,atitlan,RNP SANTO TOMAS PACHUJ / KANEMATSU CORPORATION,275,69.0,Asociacion Nacional Del Café,2012.0,2012-04-30,Juan Luis Alvarado Romero,Caturra,Washed / Wet,7.83,7.5,7.5,8.0,7.67,7.5,10.0,10.0,10.0,7.5,83.5,0.1,0,0.0,Green,5,2013-04-30,Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1524.0,1524.0,1524.0,2013,1.0,2012,2,4,30,1,2013,2,4,30,2
371,Arabica,racafe & cia s.c.a,Colombia,Unknown,Unknown,Unknown,3-37-0666,c.i.racafe & cia s.c.a,1830.9876708757638,huila,La Plata,175,70.0,Almacafé,2012.0,2012-02-09,Racafe & Cia S.C.A,Caturra,Washed / Wet,7.67,7.58,7.58,7.67,7.67,7.67,10.0,10.0,10.0,7.67,83.5,0.11,0,0.0,Green,0,2013-02-08,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600.0,1950.0,1775.0,2013,1.0,2012,1,2,9,4,2013,1,2,8,5
372,Arabica,felipe isaza,Guatemala,conquista / morito,Unknown,beneficio ixchel,11/23/0237,coffee resources inc.,1830.9876708757638,oriente,ConquistaMorito,250,2.0,Specialty Coffee Association,2012.0,2012-02-01,Felipe Isaza,Bourbon,Washed / Wet,7.5,7.5,7.75,7.5,8.0,7.67,10.0,10.0,10.0,7.58,83.5,0.0,3,0.0,Green,12,2013-01-31,Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,1402.08,1402.08,1402.08,2013,1.0,2012,1,2,1,3,2013,1,1,31,4
375,Arabica,carcafe ltda ci,Colombia,Unknown,3-59-0504,neiva,3-59-0504,carcafe ltda,1830.9876708757638,huila,FRANKLIN DUSSAN / HIPOLITO TORRES,300,29.0,Almacafé,2016.4501061796686,2017-11-09,CARCAFE LTDA CI,Caturra,Washed / Wet,7.5,7.58,7.58,7.5,7.75,7.83,10.0,10.0,10.0,7.67,83.42,0.0,0,2.0,Green,1,2018-11-09,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,439.0,439.0,439.0,2018,Unknown,2017,4,11,9,4,2018,4,11,9,5
376,Arabica,juan luis alvarado romero,Guatemala,piamonte,11/23/0696,beneficio ixchel,11/23/0696,"unex guatemala, s.a.",1830.9876708757638,san marcos,JORGE LEAL,50,69.0,Asociacion Nacional Del Café,2017.0,2017-08-23,Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.67,7.75,7.5,7.58,7.58,7.67,10.0,10.0,10.0,7.67,83.42,0.1,0,0.0,Green,3,2018-08-23,Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,m,1700.0,1700.0,1700.0,2018,1.0,2017,3,8,23,3,2018,3,8,23,4
377,Arabica,carcafe ltda ci,Colombia,Unknown,3-59-2318,cartago,3-59-2318,carcafe ltda,1830.9876708757638,huila,FRANKLIN DUSSAN / HIPOLOTO TORRES,600,29.0,Almacafé,2016.0,2017-05-10,CARCAFE LTDA CI,Caturra,Washed / Wet,7.67,7.67,7.5,7.67,7.67,7.58,10.0,10.0,10.0,7.67,83.42,0.11,0,0.0,Green,2,2018-05-10,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,442.0,442.0,442.0,2018,2.0,2017,2,5,10,3,2018,2,5,10,4
378,Arabica,"ceca, s.a.",Costa Rica,gamboa,8885,beneficio montañas del diamante,5-025-0032,"ceca,s.a.",1830.9876708757638,tarrazu,Martin Gutierrez,275,69.0,Specialty Coffee Association of Costa Rica,2016.0,2017-02-17,"CECA, S.A.",Caturra,Washed / Wet,7.58,7.5,7.42,7.92,7.5,7.67,10.0,10.0,10.0,7.83,83.42,0.09,0,0.0,Blue-Green,4,2018-02-17,Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1850.0,1850.0,1850.0,2018,2.0,2017,1,2,17,5,2018,1,2,17,6
380,Arabica,bugisu cooperative union,Uganda,bulago & buginyanya,5055,bcu,7697,bugisu cooperative union,1830.9876708757638,eastern,Bulago & Buginyanya,20,1218.0,Uganda Coffee Development Authority,2015.0,2016-07-21,Bugisu Cooperative Union,SL14,Washed / Wet,7.58,7.75,7.33,7.75,7.67,7.58,10.0,10.0,10.0,7.75,83.42,0.11,0,0.0,Green,1,2017-07-21,Uganda Coffee Development Authority,188fe373b511e21f614564bf86aa4774270d8e04,b7614767a5343729bbde3a2777c60ce836aed928,m,1800.0,1800.0,1800.0,2017,2.0,2016,3,7,21,4,2017,3,7,21,5
381,Arabica,松澤宏樹 koju matsuzawa,Thailand,matsuzawa coffee,MCCFWXA15/16,matsuzawa coffee,Unknown,matsuzawa coffee,1830.9876708757638,thailand,Matsuzawa Coffee,500,25.0,Specialty Coffee Institute of Asia,2015.0,2016-06-27,松澤宏樹 Koju Matsuzawa,Catimor,Washed / Wet,7.5,7.58,7.75,7.5,7.75,7.67,10.0,10.0,10.0,7.67,83.42,0.13,0,0.0,Bluish-Green,0,2017-06-27,Specialty Coffee Institute of Asia,726e4891cf2c9a4848768bd34b668124d12c4224,b70da261fcc84831e3e9620c30a8701540abc200,m,1200.0,1200.0,1200.0,2017,2.0,2016,2,6,27,1,2017,2,6,27,2
382,Arabica,consejo salvadoreño del café,El Salvador,la joya,73,el borbollon,9-391-73,consejo salvadoreño del café,1830.9876708757638,apaneca,"Ibero El Salvador, S.A. de C.V.",275,69.0,Salvadoran Coffee Council,2016.0,2016-04-25,Consejo Salvadoreño del Café,Bourbon,Washed / Wet,7.58,7.5,7.75,7.58,7.75,7.67,10.0,10.0,10.0,7.58,83.42,0.11,0,0.0,Unknown,0,2017-04-25,Salvadoran Coffee Council,3d4987e3b91399dbb3938b5bdf53893b6ef45be1,27b21e368fb8291cbea02c60623fe6c98f84524d,m,1330.0,1330.0,1330.0,2017,1.0,2016,2,4,25,1,2017,2,4,25,2
383,Arabica,carcafe ltda ci,Colombia,Unknown,Unknown,neiva,3-59-2236,carcafe ltda,1830.9876708757638,huila,FRANKLIN DUSSAN/ANDRES RODRIGUEZ/HIPOLITO TORRES,275,70.0,Almacafé,2015.0,2015-04-29,CARCAFE LTDA CI,Caturra,Natural / Dry,7.58,7.67,7.58,7.67,7.58,7.67,10.0,10.0,10.0,7.67,83.42,0.12,4,0.0,Green,0,2016-04-28,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,442.0,442.0,442.0,2016,1.0,2015,2,4,29,3,2016,2,4,28,4
384,Arabica,bourbon specialty coffees,Brazil,cachoeira da grama farm,Unknown,Unknown,002/4542/0886,bourbon specialty coffees,1830.9876708757638,vale da grama,GABRIEL CARVALHO DIAS,300,60.0,Brazil Specialty Coffee Association,2014.0,2015-01-15,BOURBON SPECIALTY COFFEES,Yellow Bourbon,Semi-washed / Semi-pulped,7.33,7.83,7.75,7.5,7.42,7.83,10.0,10.0,10.0,7.75,83.42,0.12,0,0.0,Green,6,2016-01-15,Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,1812.3495975560081,1849.6257441955195,1830.9876708757638,2016,2.0,2015,1,1,15,4,2016,1,1,15,5
385,Arabica,ngila estate ltd,"Tanzania, United Republic Of",ngila estate,Unknown,ngila estate ltd,C50,ngila estate ltd,1830.9876708757638,karatu northern,Ngila Estate Ltd,39,60.0,Africa Fine Coffee Association,2014.0,2014-12-12,Ngila Estate Ltd,Bourbon,Washed / Wet,7.75,7.67,7.58,7.67,7.58,7.58,10.0,10.0,10.0,7.58,83.42,0.13,0,0.0,Green,4,2015-12-12,Africa Fine Coffee Association,073285c0d45e2f5539012d969937e529564fa6fe,c4ab13415cdd69376a93780c0166e7b1a10481ea,m,1600.0,1600.0,1600.0,2015,1.0,2014,4,12,12,5,2015,4,12,12,6
386,Arabica,compañia colombiana agroindustrial s.a,Colombia,Unknown,Unknown,trilladora boananza,15-3-79-0002,ecom cca sa,1830.9876708757638,huila,Unknown,250,70.0,Almacafé,2013.707999270807,2014-10-15,Compañia Colombiana Agroindustrial S.A,Caturra,Washed / Wet,7.58,7.58,7.25,7.75,7.75,8.58,9.33,10.0,10.0,7.58,83.42,0.12,0,0.0,Green,1,2015-10-15,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1813.0,1813.0,1813.0,2015,Unknown,2014,4,10,15,3,2015,4,10,15,4
387,Arabica,juan luis alvarado romero,Guatemala,el papaturro,Unknown,beneficio ixchel,11/23/0562,"unex guatemala, s.a.",1830.9876708757638,oriente,AMILCAR LAPOLA,250,69.0,Asociacion Nacional Del Café,2013.0,2014-08-21,Juan Luis Alvarado Romero,Bourbon,Natural / Dry,7.75,7.83,7.33,7.83,7.5,7.67,10.0,10.0,10.0,7.5,83.42,0.1,0,0.0,Green,1,2015-08-21,Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1219.2,1219.2,1219.2,2015,2.0,2014,3,8,21,4,2015,3,8,21,5
